taxid	BAGS	OTU_ID	sharers
287614	D	OTU_000010	
306469	D	OTU_000014	
351134	D	OTU_000012	
431897	D	OTU_000007	
432714	D	OTU_000017	
432882	F		
632908	E	OTU_000006	Epidendrum embreyii,Pleurothallis ankyloglossa,Pleurothallis imperiales,Pleurothallis microcardia,Stelis sp.,Zootrophion niveam
734464	E	OTU_000006	Dracula hirtzii,Epidendrum embreyii,Pleurothallis ankyloglossa,Pleurothallis imperiales,Pleurothallis microcardia,Zootrophion niveam
740249	D	OTU_000018	
740250	D	OTU_000015	
740251	E	OTU_000006	Dracula hirtzii,Pleurothallis ankyloglossa,Pleurothallis imperiales,Pleurothallis microcardia,Stelis sp.,Zootrophion niveam
740252	D	OTU_000016	
740253	E	OTU_000006	Dracula hirtzii,Epidendrum embreyii,Pleurothallis ankyloglossa,Pleurothallis microcardia,Stelis sp.,Zootrophion niveam
740254	E	OTU_000006	Dracula hirtzii,Epidendrum embreyii,Pleurothallis ankyloglossa,Pleurothallis imperiales,Stelis sp.,Zootrophion niveam
740255	E	OTU_000006	Dracula hirtzii,Epidendrum embreyii,Pleurothallis ankyloglossa,Pleurothallis imperiales,Pleurothallis microcardia,Stelis sp.
740256	E	OTU_000006	Dracula hirtzii,Epidendrum embreyii,Pleurothallis imperiales,Pleurothallis microcardia,Stelis sp.,Zootrophion niveam
